,StudentID,Throughout 1st Class?,10th Percentage,10+2 Percentage,P[acement Status,Logical Ability Score (out of 900),English Comprehension Score (out of 900),Quantitative Ability Score (out of 900),Automata Fix Score (out of 100),Computer Programming Score (out of 900),ART,EUT,QAT,WET,EAT,Coding,P%
50,SID0121,1.0,91.2,63.2,1.0,675,575,710,29,580,60,56,38,50.1,60,45,88.88888888888889
51,SID0179,0.0,81.5,53.8,1.0,-2,-2,-2,43,570,54,58,46,40.6,48.33,81,95.72649572649573
52,SID0211,1.0,89.3,74.2,1.0,510,475,355,0,455,70,58,46,66.2,41.67,0,88.88888888888889
53,SID0127,0.0,43.2,50.8,0.0,645,525,425,29,385,48,60,62,64.6,38.33,0,97.43589743589743
54,SID0144,1.0,85.5,70.6,1.0,520,605,305,0,420,58,70,16,70.9,38.33,0,100.0
55,SID0027,0.0,77.0,52.67,1.0,645,505,735,0,650,66,66,36,47.2,70,45,99.14529914529915
56,SID0005,1.0,77.9,66.2,1.0,485,485,755,29,460,56,50,62,64.8,50,81,96.55172413793103
57,SID0059,1.0,78.0,89.1,1.0,-2,-2,-2,-2,-2,64,34,52,29.3,11.67,81,85.34482758620689
58,SID0135,1.0,68.4,64.6,0.0,,,,,,,,,,,,92.85714285714286
59,SID0041,0.0,52.17,49.6,0.0,505,560,770,0,585,78,68,44,79.6,70,39,88.88888888888889
60,SID0028,0.0,77.4,45.0,0.0,230,435,335,0,370,20,2,16,82.7,23.33,0,93.16239316239316
61,SID0143,0.0,66.5,49.4,0.0,-2,-2,-2,0,210,60,70,32,48.7,38.33,0,95.72649572649573
62,SID0038,1.0,79.8,69.0,1.0,595,630,370,58,555,44,46,24,44.6,35,81,25.0
63,SID0078,1.0,63.2,70.4,1.0,275,310,420,0,170,30,30,30,58.8,26.67,81,75.0
64,SID0200,0.0,55.5,53.2,0.0,-2,485,-2,15,515,48,42,42,60.4,38.33,0,87.17948717948718
65,SID0030,1.0,68.4,71.0,1.0,605,485,685,29,585,60,48,38,44,46.67,45,96.55172413793103
66,SID0116,1.0,85.5,80.0,1.0,590,505,755,29,615,72,70,88,84.6,86.67,81,96.29629629629629
67,SID0074,1.0,95.0,84.8,0.0,655,755,765,0,600,54,80,82,41.6,78.33,0,100.0
68,SID0158,1.0,78.4,64.5,1.0,560,515,720,0,640,82,70,50,48.5,73.33,39,100.0
69,SID0119,1.0,62.7,60.0,0.0,535,370,270,0,295,22,38,32,25.2,33.33,0,78.44827586206897
70,SID0171,1.0,62.7,74.8,0.0,,,,,,,,,,,,
71,SID0010,1.0,79.8,66.0,1.0,480,625,615,0,355,36,68,0,60.6,36.67,0,100.0
72,SID0181,1.0,85.5,60.6,0.0,425,480,300,0,305,30,76,22,27.8,50,0,88.88888888888889
73,SID0204,1.0,80.2,65.4,1.0,435,355,425,0,295,36,32,16,49.6,31.67,0,49.137931034482754
74,SID0053,1.0,68.4,73.4,1.0,510,475,655,0,500,34,60,20,54.6,38.33,0,40.74074074074074
75,SID0071,0.0,68.4,58.2,1.0,645,625,710,15,555,52,70,46,76.3,45,81,85.47008547008546
76,SID0125,0.0,54.2,60.75,1.0,465,475,355,15,635,22,32,14,67.9,33.33,0,92.3076923076923
77,SID0099,0.0,70.3,54.6,1.0,530,445,355,0,345,46,44,20,0,21.67,0,37.60683760683761
78,SID0076,0.0,81.7,54.4,1.0,605,600,735,0,405,54,66,0,58,40,0,91.45299145299145
79,SID0212,0.0,58.9,48.2,1.0,415,595,760,0,490,54,68,44,69.1,58.33,0,97.43589743589743
80,SID0062,1.0,71.5,64.8,0.0,,,,,,,,,,,,
81,SID0035,1.0,76.0,66.6,1.0,690,595,670,0,525,80,70,48,76.7,73.33,39,100.0
82,SID0063,1.0,95.0,75.4,1.0,595,325,545,29,490,42,44,34,57.8,30,0,88.88888888888889
83,SID0003,1.0,64.6,68.6,1.0,505,570,710,0,730,42,28,38,0,18.33,0,92.24137931034483
84,SID0196,0.0,61.5,,0.0,-2,-2,-2,0,290,42,46,24,28.7,25,0,74.13793103448276
85,SID0107,0.0,71.6,73.4,0.0,-2,-2,-2,-2,315,68,64,50,27,55,0,84.48275862068965
86,SID0109,1.0,89.3,69.8,1.0,-2,-2,-2,-2,440,42,56,16,47.4,15,0,100.0
87,SID0013,1.0,86.6,94.2,1.0,520,465,490,15,460,48,38,40,31.2,43.33,0,25.925925925925924
88,SID0085,1.0,80.6,60.8,0.0,-2,-2,-2,-2,320,30,28,22,64.5,40,0,97.41379310344827
89,SID0167,0.0,62.6,50.4,0.0,,,,,,,,,,,,
90,SID0017,0.0,55.6,51.0,0.0,,,,,,,,,,,,
91,SID0097,1.0,92.0,83.11,1.0,-2,-2,-2,0,505,48,74,40,47.1,50,0,100.0
92,SID0165,0.0,70.3,56.8,0.0,570,475,730,0,500,58,50,18,70.8,45,36,98.29059829059828
93,SID0170,0.0,79.8,81.0,0.0,625,535,665,0,565,64,64,64,33.8,68.33,96,10.714285714285714
94,SID0089,1.0,68.4,70.4,1.0,,,,,,,,,,,,
95,SID0031,1.0,74.1,65.4,1.0,-2,-2,-2,-2,-2,60,62,48,56.9,75,0,59.25925925925925
96,SID0182,0.0,61.8,50.6,1.0,380,345,485,0,400,32,58,42,53.2,35,0,94.01709401709401
97,SID0137,0.0,62.67,58.8,1.0,355,-1,385,0,570,30,26,30,69.5,8.33,0,86.32478632478633
98,SID0077,1.0,72.2,65.0,0.0,405,345,385,0,350,28,22,22,0,21.67,0,75.0
99,SID0039,1.0,77.9,71.2,1.0,-1,445,-2,0,620,44,48,26,65.5,48.33,0,42.857142857142854
100,SID0033,0.0,57.0,57.0,1.0,-2,-2,-2,0,300,32,22,26,77.3,25,0,49.572649572649574
101,SID0178,1.0,81.7,63.8,0.0,345,345,390,0,130,22,36,28,0,28.33,0,96.55172413793103
102,SID0054,1.0,68.83,70.6,1.0,575,455,365,29,140,26,24,50,69,30,Absent,66.66666666666666
103,SID0122,1.0,89.3,64.6,1.0,590,650,710,0,615,54,78,36,49.7,55,0,67.52136752136752
104,SID0128,1.0,74.5,75.8,1.0,430,635,290,29,495,42,54,22,76.1,35,0,92.5925925925926
105,SID0117,1.0,85.23,84.22,1.0,520,405,535,0,585,28,0,36,39.9,41.67,0,96.55172413793103
106,SID0008,0.0,71.8,53.2,0.0,,,,,,,,,,,,20.33898305084746
107,SID0193,1.0,85.5,68.0,1.0,-2,-2,-2,-2,-1,0,38,34,53.9,31.67,0,83.62068965517241
108,SID0103,0.0,53.2,50.6,1.0,485,695,675,0,400,46,42,34,52.1,55,0,2.941176470588235
109,SID0198,1.0,79.4,84.0,1.0,-2,-2,-2,0,550,34,68,48,48.5,48.33,0,93.96551724137932
110,SID0197,0.0,68.4,56.4,0.0,425,630,295,0,410,46,70,22,82.5,51.67,0,75.42372881355932
111,SID0067,1.0,93.33,62.2,0.0,590,600,705,58,615,46,60,48,30.3,38.33,45,63.24786324786324
112,SID0149,1.0,91.2,83.2,1.0,545,425,725,0,505,44,64,64,45.7,58.33,0,40.74074074074074
113,SID0023,0.0,71.0,54.0,0.0,590,480,580,0,370,80,70,28,58.5,38.33,0,91.47286821705426
114,SID0040,1.0,71.0,67.0,1.0,295,330,370,0,290,46,46,42,0,31.67,81,100.0
115,SID0011,1.0,79.8,76.4,1.0,,,,,,,,,,,,
116,SID0201,0.0,59.4,60.0,0.0,,,,,,,,,,,,
117,SID0160,1.0,89.6,74.8,1.0,,,,,,,,,,,,
118,SID0093,1.0,86.3,66.4,1.0,505,585,745,0,475,48,66,36,59,46.67,0,97.5
119,SID0123,1.0,95.0,84.0,1.0,585,675,600,29,530,24,60,50,63.2,55,0,66.66666666666666
120,SID0006,1.0,81.7,73.0,1.0,570,585,460,0,425,48,72,68,70,68.33,96,83.62068965517241
121,SID0154,1.0,83.0,68.6,1.0,,,,,,,,,,,,
122,SID0118,0.0,61.0,58.8,1.0,560,375,700,0,590,30,30,30,57.3,25,0,96.63865546218487
123,SID0183,0.0,66.5,55.2,1.0,550,445,685,0,400,32,60,18,0,43.33,0,90.5982905982906
124,SID0132,1.0,81.7,78.4,1.0,,,,,,,,,,,,
125,SID0161,0.0,58.83,63.8,1.0,605,525,530,0,530,48,26,30,30.3,33.33,45,83.76068376068376
126,SID0180,1.0,67.0,81.5,1.0,485,395,465,0,535,38,34,32,0,20,0,98.27586206896551
127,SID0147,1.0,72.2,64.4,1.0,,,,,,,,,,,,
128,SID0191,1.0,81.4,70.33,0.0,-2,-2,-2,29,350,42,50,56,30.1,40,81,100.0
129,SID0092,0.0,0.0,59.8,1.0,575,580,700,0,335,54,64,66,65.1,71.67,96,
130,SID0064,1.0,89.69,80.22,0.0,560,540,415,0,450,48,52,38,57.2,53.33,45,100.0
131,SID0029,0.0,63.6,56.8,1.0,490,510,485,0,310,64,86,72,58.4,45,36,100.0
132,SID0148,1.0,83.6,62.0,1.0,,,,,,,,,,,,70.6896551724138
133,SID0156,0.0,58.9,67.2,0.0,-2,-2,-2,-2,720,38,62,38,83,35,0,72.88135593220339
134,SID0042,0.0,61.83,58.2,0.0,460,440,380,0,385,50,58,30,30.1,36.67,0,88.03418803418803
135,SID0126,1.0,72.2,62.4,1.0,-2,-2,-2,-2,495,64,60,50,51.4,51.67,45,96.29629629629629
136,SID0081,1.0,90.77,87.56,1.0,365,525,380,29,450,42,70,24,0,36.67,0,93.96551724137932
137,SID0018,1.0,84.6,71.4,1.0,-2,-2,-2,29,535,60,72,60,78,73.33,45,98.27586206896551
138,SID0163,1.0,73.0,67.4,1.0,545,350,470,0,460,26,32,16,67.3,31.67,0,85.18518518518519
139,SID0050,1.0,80.8,76.4,0.0,,,,,,,,,,,,
140,SID0051,0.0,60.0,58.67,1.0,685,580,755,29,470,62,64,82,49.2,71.67,61,83.76068376068376
141,SID0022,1.0,66.5,82.4,0.0,,,,,,,,,,,,
142,SID0045,1.0,87.0,87.2,1.0,545,585,620,0,430,38,62,26,45,36.67,36,100.0
143,SID0044,0.0,58.9,53.5,0.0,450,435,415,0,340,50,62,30,52.4,45,96,83.76068376068376
144,SID0185,1.0,66.5,60.5,1.0,515,385,485,0,465,32,64,24,0,36.67,0,91.37931034482759
145,SID0002,0.0,75.0,55.6,1.0,520,520,360,0,330,30,64,44,56.6,38.33,0,97.43589743589743
146,SID0113,0.0,68.0,56.2,0.0,435,350,365,0,415,36,42,30,61.3,26.67,0,95.72649572649573
147,SID0155,1.0,62.7,67.8,1.0,315,465,310,0,330,16,22,24,46.1,30,0,82.75862068965517
148,SID0091,1.0,64.6,60.0,1.0,,,,,,,,,,,,98.27586206896551
149,SID0187,1.0,87.4,60.0,1.0,530,485,365,0,310,40,32,2,50.7,45,0,100.0
150,SID0084,1.0,79.0,72.8,1.0,655,430,455,0,505,22,62,46,47.4,16.67,96,100.0
151,SID0111,0.0,69.6,52.8,1.0,595,420,725,15,545,68,62,70,80.1,81.67,96,88.88888888888889
152,SID0087,1.0,77.9,85.2,0.0,570,560,665,0,250,22,44,56,25,71.67,45,0.0
153,SID0049,1.0,95.0,85.8,1.0,630,550,740,29,570,60,72,56,88.9,51.67,0,70.37037037037037
154,SID0206,0.0,52.67,62.4,1.0,485,515,430,29,535,56,52,44,59.4,40,36,88.88888888888889
155,SID0094,0.0,72.2,50.4,1.0,650,540,560,15,725,40,52,42,30.5,55,0,95.72649572649573
156,SID0114,1.0,87.4,78.4,1.0,390,490,465,15,525,74,62,52,52.4,55,81,100.0
157,SID0172,1.0,79.2,77.0,0.0,570,465,720,0,395,50,50,34,52,45,45,17.857142857142858
158,SID0104,0.0,53.2,66.0,1.0,550,500,455,0,645,56,58,30,42.7,45,36,99.14529914529915
159,SID0130,0.0,68.43,64.4,1.0,375,460,425,0,590,32,42,28,36.6,23.33,0,98.29059829059828
160,SID0120,0.0,58.2,65.4,1.0,535,410,735,0,650,28,24,18,0,26.67,0,91.45299145299145
161,SID0164,1.0,85.17,84.0,1.0,615,635,595,29,670,88,78,62,61.7,78.33,0,
162,SID0080,1.0,83.6,70.0,1.0,550,660,745,0,515,54,66,38,34.2,55,36,100.0
163,SID0082,1.0,84.83,80.0,1.0,560,455,325,0,355,50,42,32,46.7,36.67,45,89.65517241379311
164,SID0207,0.0,77.0,56.8,1.0,675,400,580,0,505,58,70,38,55.2,63.33,0,91.45299145299145
165,SID0136,1.0,89.6,87.8,1.0,565,585,495,0,535,56,68,56,49.5,41.67,81,85.47008547008546
166,SID0194,1.0,61.4,60.4,1.0,,,,,,,,,,,,
167,SID0174,0.0,64.6,51.0,1.0,580,525,695,0,560,64,62,44,65.5,40,0,99.14529914529915
168,SID0068,1.0,83.6,62.4,1.0,620,540,540,0,305,36,28,34,54.3,30,0,97.41379310344827
169,SID0102,1.0,84.0,86.8,1.0,590,595,765,0,435,42,74,32,62.9,63.33,36,99.13793103448276
170,SID0106,1.0,85.5,71.4,1.0,625,550,655,0,455,56,66,62,85.4,68.33,81,100.0
171,SID0021,0.0,64.6,49.2,1.0,560,575,535,15,580,54,70,42,83.6,61.67,60,100.0
172,SID0202,1.0,64.6,63.2,1.0,660,625,755,29,525,50,62,42,68.8,41.67,45,
173,SID0036,0.0,57.0,63.2,0.0,455,435,325,0,325,14,10,Absent,Absent,Absent,Absent,0.847457627118644
174,SID0105,1.0,66.5,62.4,0.0,-2,-2,-2,-2,425,52,60,32,0,60,0,52.58620689655172
175,SID0205,1.0,77.9,71.4,1.0,,,,,,,,,,,,88.79310344827587
176,SID0009,1.0,65.4,63.8,1.0,620,575,600,43,690,56,70,44,62.3,61.67,0,70.08547008547008
177,SID0134,0.0,45.08,62.67,0.0,-2,-2,-2,-2,350,32,0,32,66.3,48.33,0,86.32478632478633
178,SID0129,0.0,74.1,59.8,1.0,470,520,355,15,450,42,70,24,60.5,51.67,0,58.97435897435898
179,SID0188,0.0,64.6,59.8,0.0,540,510,640,0,690,34,54,54,36.7,0,0,96.58119658119658
180,SID0034,0.0,87.4,57.0,1.0,-2,-2,-2,-2,560,62,68,60,79.3,50,96,86.32478632478633
181,SID0184,0.0,55.1,80.4,1.0,,,,,,,,,,,,94.01709401709401
182,SID0019,0.0,0.0,56.0,0.0,,,,,,,,,,,,89.74358974358975
183,SID0012,1.0,76.0,72.5,1.0,580,345,350,0,405,32,46,16,32.6,31.67,45,90.47619047619048
184,SID0175,1.0,63.8,74.5,1.0,610,580,615,29,550,52,50,48,77.7,56.67,81,
185,SID0001,1.0,60.8,71.0,0.0,300,390,320,0,325,Absent,Absent,Absent,Absent,Absent,Absent,18.803418803418804
186,SID0209,1.0,62.7,63.2,1.0,490,420,515,15,415,46,64,36,60.4,41.67,45,93.10344827586206
187,SID0177,1.0,70.2,63.2,1.0,565,665,670,29,360,32,56,30,35.5,30,0,87.93103448275862
188,SID0047,1.0,79.64,76.27,1.0,695,415,695,0,570,40,52,36,41.1,50,36,100.0
189,SID0169,0.0,71.8,50.6,0.0,,,,,,,,,,,,
190,SID0086,0.0,68.8,55.25,1.0,-2,-2,-2,15,520,50,70,46,49.2,33.33,0,99.14529914529915
191,SID0141,1.0,74.0,61.6,1.0,490,490,445,0,365,54,74,58,58.4,71.67,0,92.5925925925926
192,SID0015,0.0,45.0,45.0,1.0,580,550,655,15,350,60,44,30,32.7,40,0,100.0
193,SID0112,0.0,70.3,55.4,1.0,545,440,675,29,425,58,62,58,59.7,65,39,93.16239316239316
194,SID0162,1.0,84.2,62.4,1.0,705,605,655,43,495,80,70,50,34.5,71.67,39,100.0
195,SID0199,0.0,62.7,55.6,0.0,300,405,275,15,320,34,54,52,48.7,36.67,0,88.03418803418803
196,SID0048,1.0,75.25,76.6,0.0,-2,-2,-2,0,465,42,54,32,72.8,Absent,Absent,48.275862068965516
197,SID0055,0.0,83.6,,1.0,575,565,-2,0,460,60,72,34,53.7,68.33,36,97.45762711864407
198,SID0016,1.0,77.8,81.5,1.0,460,495,510,29,495,34,54,16,72.5,35,0,97.41379310344827
199,SID0095,1.0,85.33,82.75,0.0,550,590,500,0,275,50,68,34,73.2,70,0,96.55172413793103
200,SID0159,0.0,47.8,72.8,1.0,,,,,,,,,,,,
201,SID0079,0.0,51.3,49.4,0.0,555,410,510,29,435,42,54,Absent,Absent,Absent,Absent,3.389830508474576
202,SID0133,0.0,47.4,62.2,0.0,Absent,Absent,Absent,Absent,Absent,Absent,48,Absent,Absent,Absent,Absent,0.0
203,SID0124,1.0,70.3,80.0,1.0,,,,,,,,,,,,95.6896551724138
204,SID0190,1.0,90.0,94.4,1.0,-2,-2,-2,-2,280,20,48,22,0,35,0,81.89655172413794
205,SID0024,0.0,70.3,50.6,1.0,565,635,625,0,495,50,74,66,56.2,78.33,96,93.16239316239316
206,SID0151,1.0,67.6,60.0,1.0,535,450,700,0,390,46,74,64,62.1,66.67,81,72.41379310344827
207,SID0173,1.0,74.0,73.2,1.0,-2,-2,-2,-2,545,44,52,32,24.7,35,0,74.07407407407408
208,SID0166,0.0,58.0,55.4,0.0,,,,,,,,,,,,
209,SID0004,1.0,81.7,62.8,1.0,-2,-2,-2,-2,530,64,72,40,79.3,63.33,0,85.18518518518519
210,SID0056,0.0,74.92,88.4,0.0,340,460,310,0,305,,,,,,,46.42857142857143
211,SID0052,1.0,76.0,80.8,1.0,595,710,530,0,495,58,62,8,21.1,38.33,0,85.18518518518519
212,SID0153,0.0,74.1,52.4,1.0,,,,,,,,,,,,
213,,,,,,620,440,700,15,580,74,70,60,61.5,68.33,0,
